电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
哈利·波特与死亡圣器（下）,2011,2011-08-04,"冒险,奇幻",130,81,英语,大卫·叶茨,J·K·罗琳,一切终将结束,在这部史诗终章的第二部分，魔法世界正邪双方的对决升级为全面战争。危机已达空前高度，无人能保证安全。然而，当哈利·波特逐步逼近与伏地魔的终极对决时，他可能被迫作出最后的牺牲。一切在此终结。[华纳兄弟影业]
还有明天,2023,2025-03-08,"剧情,喜剧,历史",118,81,意大利语,保拉·科泰莱西,富里奥·安德烈奥蒂,简介,1946年5月的罗马被二战留下的贫困、街头游荡的盟军民兵，以及6月2日至3日的国体公投所激发的变革愿望撕裂。女主角迪莉娅是虐待狂伊万诺的妻子，也是三个孩子的母亲，其中包括十几岁的玛塞拉。在处理家庭事务的间隙，她照顾闷闷不乐的岳父奥托里诺，偶尔还要去城里的一些商店打工。这个女人在这艰难的生活中也有几个盟友：爱她的机械师尼诺；玛丽莎，一位机智乐观的朋友；还有威廉，想要帮助她的非裔美国士兵。迪莉娅的生活被玛塞拉与朱利奥的订婚打乱。朱利奥来自一个富裕的家庭，他们的收入主要源于经营的酒吧。然而迪莉娅很快意识到，若红事确定，她的女儿将走向与她相似的痛苦婚姻。因此，在威廉的帮助下，她设法炸毁了准女婿的酒吧，迫使他们家离开罗马。尽管马塞拉陷入绝望，但迪莉娅知道她做了正确的事。在邮寄给她的第一张选民卡的鼓励下，她决心反击。6月2日，决定国家命运的时刻到来。迪莉娅想要参加，并找借口逃离丈夫，但岳父却突然去世。好在这并未阻碍她作为女性第一次参与投票。可她丢失的选民卡却接二连三被丈夫和绝望中的女儿找到。她必须在其中周旋，确保能为自己、孩子和国家的未来做出正确的选择。
白蛇2：青蛇劫起,2021,2021-07-23,"动画,奇幻,动作,冒险",131,81,汉语,黄家康,大毛,Dependence arises from the previous life.,南宋末年，小白为救许仙水漫金山，终被法海压在雷峰塔下。小青则意外被法海打入诡异的修罗城幻境。几次危机中小青被神秘蒙面少年所救，小青带着出去救出小白的执念历经劫难与成长，同蒙面少年一起寻找离开的办法。
彗星美人,1950,1950-11-09,剧情,138,81,英语,Joseph L. Mankiewicz,,It's all about women... and their men!,在约瑟夫·L·曼凯维茨这部犀利机智与妙语连珠的好莱坞经典中，舞台后方才是真实戏剧上演之处。一夜，玛戈·钱宁在化妆间接待了一位不速之客——她最狂热的崇拜者，那位羞怯而天真的伊芙·哈灵顿。然而当伊芙逐渐渗透进玛戈的生活，这位百老汇传奇很快意识到，这位所谓的仰慕者正企图利用她与身边所有人——包括乔治·桑德斯饰演的毒舌评论家——作为自己迈向星途的垫脚石。凭借曼凯维茨如手术刀般锋利的对白与执导，以及戴维斯凭此片重振并定义其演艺生涯的难忘表演，这部荣获多项奥斯卡奖的影片，成为影史对演艺界残酷法则最精妙绝伦的无情剖析。[标准收藏]
蓦然回首,2024,2024-10-26,"动画,剧情",75,81,日语,押山清高,,Manga drew them together. Life made them best friends.,藤野是一名小学四年级学生，她在校报上连载的四格漫画专栏获得了同学们的一致好评。然而某天她的老师却突然告诉她，逃学的京本想在报纸上刊登自己的漫画。两个女孩对漫画的共同热情让她们走到了一起，直到有一天，某件事的发生打破了这一切，一个令人揪心的成长故事就此展开。
血色将至,2007,2008-06-14,剧情,158,81,英语,保罗·托马斯·安德森,厄普顿·辛克莱,21世纪最好的电影,当丹尼尔·普莱恩维尤得知西部有个小镇正涌出石油如海的隐秘消息后，便带着儿子H.W.前往尘沙蔽日的小波士顿碰运气。在这片贫瘠土地上，唯一的喧腾围绕着魅力非凡的牧师以利·桑迪所主持的圣滚教教堂。普莱恩维尤父子虽幸运地挖出了油井，但随着财富喷涌，冲突亦日益加剧——爱、希望、信仰、野心、社区纽带，甚至父子亲情，所有人性价值都在腐败、欺骗与石油洪流的冲刷下面临崩解。[派拉蒙优势]
大战争,1959,1959-10-28,"喜剧,战争,剧情",137,81,意大利语,Mario Monicelli,卢西亚诺·文森佐尼,The great battle spectacle of our time!,两个意大利士兵被卷入第一次世界大战，他们很想逃脱战争的阴霾，想了很多办法，但是现实无情，总是把他们推到荒唐而危险的境况中。在一次次偷懒成功后，他们却目睹着一次次战友们血肉模糊的战场惨状。终于一个亡故战友的妻子令两人的思想有了变化，在一次对敌行动被俘后两人被处死，但他们的长官却还以为他们照旧做了逃兵。
家门之外,2021,2021-11-24,"动画,家庭",7,81,英语,Natalie Nourigat,,Experience the bonds of family,做家长很难，尤其是一只年幼浣熊有好奇心时，他的家长努力确保大家的安全。在华特迪士尼动画制作室的短片《家门之外》中，这只年轻的浣熊学会以开放的心态生活，即使潜伏着危险。
街角的商店,1940,1940-01-12,"喜剧,剧情,爱情",99,81,英语,恩斯特·刘别谦,萨姆森·拉斐尔森,EVERY GIRL OR FELLOW WHO EVER KEPT A “BLIND DATE”,一家礼品店的两名店员在工作中水火不容，却浑然不知彼此正是对方那位渐生情愫的匿名笔友。
山椒大夫,1954,1954-03-31,剧情,124,81,日语,沟口健二,八寻不二,"Without mercy, man is like a beast.",当一位理想主义的官员违抗了当权的封建领主，他便遭流放，其妻儿只能自谋生路，并最终被恶毒的奴隶贩子强行拆散。在沟口健二璀璨夺目的执导下，这个经典的日本故事成为了电影史上最伟大的杰作之一，它是一部纪念碑式的、充满同理心的史诗，深刻表达了人类在邪恶面前的坚韧精神。[标准收藏]
怪形,1982,1982-06-25,"恐怖,悬疑,科幻",109,81,英语,约翰·卡朋特,小约翰·W·坎贝尔,Anytime. Anywhere. Anyone.,1982年冬天，挪威科考队的一架直升机突然打破了南极大陆的平静，直升机疯狂的追逐一只雪橇犬，最后坠毁在美国科考营地的附近。美国科考队员对挪威考察队近期人员骤减的情况有所耳闻，于是飞行员麦克（Kurt Russell 饰）与众人赶赴挪威营地，结果看到的是一地破败中四处散落着奇怪的尸体，并有证据表明挪威人得到了某种冰封状态中的生物。医生布莱尔（Wilford Brimley 饰）研究了尸体的变异却无法破解成因。当晚，犬笼中的狗遭到袭击并发生了变异，一种不可知的生物正在这孤寂的南极大陆威胁着科考队员们的生命……
紫罗兰永恒花园外传：永远与自动手记人偶,2019,2020-01-10,"剧情,奇幻,动画",91,81,日语,藤田春香,晓佳奈,我生活一片荒芜，唯一的珍宝，或许只有...,作为“战争机器”长大的女主人公薇尔莉特·伊芙加登，在战争中失去双臂，并与收养她的少佐分离，在装上义肢后，成为邮政公司一名从事代写书信工作的 “自动手记人偶”。在车马缓慢、只能以信件传递感情的年代里，“自动手记人偶”通过与委托人接触交流，代写书信，以优美准确的文字传递着人们最为真挚的感情。外传的故事中，薇尔莉特·伊芙加登接到了一桩特殊的委托工作……
K-Pop 猎魔女团,2025,2025-06-20,"奇幻,音乐,喜剧,动画",96,81,英语,Maggie Kang,Chris Appelhans,They sing. They dance. They battle demons.,Kpop 超级明星鲁米、米拉和佐伊如果不是在座无虚席的体育场举办演唱会，就是在利用自己的秘密身份 — 强悍的恶魔猎人 — 保护粉丝们免受无处不在的超自然威胁。她们必须共同面对迄今为止最强大的敌人：一支魅力难挡、由恶魔伪装的男团组合。
神秘博士：博士之时,2013,2013-12-25,"剧情,科幻",60,81,英语,Jamie Payne,史蒂文·莫法特,A change is going to come...,宇宙中最邪恶的物种都被一条神秘的消息吸引来到一座宁静的星球小镇：圣诞。博士和他的朋友们必须要破解出这条信息，因为博士的命运与整个宇宙的命运都握在其中。
天佑鲍比,2009,2009-02-27,"剧情,历史",89,81,英语,拉塞尔·穆卡希,凯蒂·福特,She loves everything about her son...except who he is.,本片根据真人真事改编。Bobby（瑞恩·凯利 Ryan Kelley 饰）是一个善良、虔诚的少年，有爱他的家人。但在他向家人坦白自己的性倾向后一切改变了。母亲Mary（西格妮·韦弗 Sigourney Weaver 饰）认为同性恋会下地狱的训诫，想尽办法矫正儿子。而Bobby的痛苦与日俱增。在满20岁生日前Bobby认识了开朗青年David，可Mary拒绝接受，并以有一个同性恋儿子为耻。Bobby伤心的离开家最后选择死亡来结束内心的折磨。他的死彻底唤醒了家人，尤其是Mary，她在无尽的悔恨中开始接触同性恋人群，参加PFLAG小组，与神职人员探讨圣经解释。在翻阅儿子的日记后，她开始直面自己认同儿子。失去儿子的母亲在倾盆大雨中失声痛哭，雨水和泪水将固执、偏见和不理解洗刷得一干二净。Mary此后将毕生投入到同志维权事业中，帮助那些和Bobby一样的少年。
天堂的孩子,1945,1945-03-22,"剧情,爱情",190,81,法语,Marcel Carné,Jacques Prévert,AT LAST! The Celebrated French Film.,这部被公认为法国影史瑰宝的杰作，将诗意现实主义推向了至臻之境。影片以灵动的笔触描绘十九世纪巴黎剧场风月界，在二战期间拍摄完成。故事围绕一位神秘女子展开，她被四个基于历史原型创作的男人所爱慕：一位演员、一名罪犯、一位伯爵，以及最令人心碎的角色——用浸透世代渴慕的表演撼动心灵的哑剧艺人。导演马塞尔·卡尔内与编剧雅克·普莱维尔以敏锐的洞察与戏剧激情，重现了这个充斥着江湖骗子与贵族、盗贼与名伶、掮客与先知的浮世绘。[标准收藏公司]
龙猫,1988,2018-12-14,"奇幻,动画,家庭",86,81,日语,宫崎骏,,让我们去见龙猫吧,小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。
三块广告牌,2017,2018-03-02,"犯罪,剧情",115,81,英语,马丁·麦克唐纳,,简介,本片是奥斯卡奖提名者马丁·麦克唐纳执导的一部黑色喜剧犯罪剧情片。在女儿遇害案悬置数月仍未破获后，米尔德丽德·海斯采取了一项大胆之举：她租下通往小镇路上的三块广告牌，牌上直指当地德高望重的警察局长比尔·威洛比的尖锐标语掀起轩然大波。而当威洛比麾下警员杰森·迪克森——一个沉迷酒精与暴力的不成熟妈宝男——卷入冲突后，米尔德丽德与埃宾镇执法部门之间的对抗愈演愈烈。[福克斯探照灯影业]
M就是凶手,1931,1931-05-11,"剧情,惊悚,犯罪",110,81,德语,弗里茨·朗,特娅·冯·哈堡,Who is the murderer?,柏林这些天连续发生了多起小女孩失踪事件，最后发现这些孩子都无一例外惨遭毒手。这个专门以小女孩为目标的凶手令到柏林城内人人惊恐，家长都不敢让自己的孩子外出玩耍；警察们更是在社会压力下全部出动，然而却一无所获；连黑道都感到压力了，因为警察们一天到晚找他们麻烦，大大影响了他们 的生意。于是黑白两道同时展开了抓拿凶手行动。 最终人们还是从一位卖气球的盲人小贩处获得线索，他曾经卖过气球给于凶手一同前来的小女孩，他根据凶手的口哨声认出了此人经常来买气球。聪明的小贩在凶手背后写了个字母“M”，于是警查们开始追寻这个凶手“M”（彼得•洛 Peter Lorre 饰）。
精英部队,2007,2008-06-14,"剧情,动作,犯罪",115,81,葡萄牙语,何塞·帕迪里亚,路易斯·爱德华多·苏亚雷斯,在里约的街上只有精英才能生存,时1997年，教皇即将来此视察，高层要求纳斯西蒙（Wagner Moura 饰）所率领的这支精英部队在最短时间内肃清贫民窟内的毒品链。厌倦刀光血影的纳斯西蒙将心思放在了妻子和尚未出世的婴儿身上，他将任务交给了两个热血且充满理想的年青人——内图（Caio Junqueira 饰）和马提阿斯（André Ramiro 饰）。他们俩都不满警察队伍的腐败，决心在精英部队中大展身手……
婚姻生活,1974,1974-10-28,"剧情,爱情",169,81,瑞典语,英格玛·伯格曼,,简介,玛丽是律师，约翰是精神学讲师，二人结婚十余载，最初像一对恩爱的中产夫妻，与互相折磨的另一对夫妻成强烈对比。但后来他们自己的婚姻也出现了危机，各自分开发展。当他们再见面时，两人都惊异于对方的从容自信。
活着,1994,1994-09-30,"剧情,爱情,战争",132,81,汉语,余华,张艺谋,简介,富少福贵（葛优 饰）嗜赌成性，妻子家珍（巩俐 饰）屡劝无果后带着女儿凤霞离开了他。当夜，福贵输光所有家产气死父亲，被迫靠变卖母亲首饰租间破屋过活。一年后，家珍手拉凤霞怀抱刚出世的儿子有庆回到家中，福贵痛改前非，开始靠演皮影戏过起安份守己的日子。但好景不常，内战时期，福贵被国民党抓去当劳工，一番辗转终回到家乡与一家人团圆后，凤霞因病变成哑巴，而在后来的大跃进和文革中，他虽获某些小福，逆境却也一直与他如影相随。
杀人回忆,2003,2003-04-25,"犯罪,剧情,惊悚",131,81,朝鲜语,奉俊昊,沈成宝,他们中最坏的会永远留给你...,在其突破性的第二部作品中，奉俊昊以颠覆性的手法引爆了警察类型片的传统桎梏，带来了震撼且超越类型的成果。影片基于1980年代撼动韩国乡村社区的一连串真实连环杀人案改编，韩国电影标志性人物宋康昊饰演当地警官，他不得不与一位老练的首尔侦探联手调查此案——两人由此踏上一段长达数年、充满挫败与煎熬的艰苦历程，逐渐被推向存在的边缘。奉俊昊将扣人心弦的刑侦过程与军权统治下日常生活的荒诞社会图景生动结合，打造了一次深入黑暗的萦心之旅：它始于黑色喜剧的讽刺，终于与深渊那场灵魂破碎的遭遇。[标准收藏]
新神榜：哪吒重生,2021,2021-02-06,"动画,奇幻,动作",116,81,汉语,赵霁,陆西星,Rebirth of a hero,三千年前，天下动荡，人神共遇大劫，不想哪吒的一缕魂魄逃脱天罗地网，世世转世投胎，这一世与东海市酷爱机车的热血青年李云祥人神共生。然而龙族对哪吒恩怨并未善罢甘休，有着哪吒元神的李云祥，亦无法逃脱被龙族赶尽杀绝的宿命。东海危在旦夕，李云祥是否能够与哪吒元神并肩作战，成为抵抗龙族的英雄？东海市的子民能否得到拯救？
一条狗的使命2,2019,2019-05-17,"家庭,冒险,剧情",108,81,英语,W·布鲁斯·卡梅隆,Gail Mancuso,一次新的旅程,小狗贝利延续使命，在主人伊森的嘱托下，通过不断的生命轮回， 执着守护伊森的孙女CJ，将伊森对孙女的爱与陪伴，当做最重要的使命和意义，最终帮助CJ收获幸福，再次回到主人伊森身边。
灿烂人生,2003,2003-06-22,"剧情,历史,爱情",367,81,意大利语,桑德罗·佩特拉利亚,斯特凡诺·鲁利,The Possibilities Were Endless...,这部跨越四十载（从动荡的1960年代直至当代）的澎湃史诗，跟随一对意大利兄弟穿越意大利近代史上最跌宕起伏的历史事件。[米拉麦克斯]
2001太空漫游,1968,2016-04-22,"科幻,悬疑,冒险",149,81,英语,斯坦利·库布里克,亚瑟·克拉克,终极之旅。,本片是一次通向未来的倒计时，一张指引人类命运的地图，一场对无限的求索。库布里克为开启这场未来之旅，先回溯至我们史前的猿类祖先时期，随即跨越数千年（通过电影史上一次极具震撼的跳接）来到已被殖民的太空，最终将宇航员鲍曼（凯尔·杜拉 饰）送入未知的星际领域，乃至可能抵达不朽之境。“打开分离舱门，哈尔。”让这场无与伦比、充满敬畏与奥秘的旅程就此启程。[华纳兄弟]
轮回,2011,2012-08-22,纪录,102,81,英语,罗恩·弗里克,马克·马吉德森,轮回,《轮回》是一场跨越25个国家的视觉之旅，Ron Fricke花费了5年之间捕捉每种文化中令人震撼的场面，试图建立人类与自然的桥梁。影片的名字“Samsara”来自藏语，Frricke希望借此诠释其独特的视觉风格。全片使用70mm胶片拍摄，才得以保证影像如此细腻丰富的质感 。Samsara是藏语，又叫做依业轮回，是表示生命流转循环的意思。编剧罗恩·弗里克和Mark Magidson用精彩的画面诠释了这一个深奥的词汇。揭示了大自然与我们生活的微妙关系。本片是曾以《天地玄黄》带来无言震撼的导演Ron Fricke时隔20年之后再出的新作。
我對你電影版：S先生的報仇,2020,2020-01-17,"家庭,奇幻",64,81,意大利语,Luigi Calagna,Sofia Scalia,简介,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success."
紫心之恋,2022,2022-07-29,"爱情,剧情",122,80,英语,伊丽莎白·艾伦·罗森鲍姆,丽兹·加西亚,简介,梦想成为音乐人的女孩和即将出征的海军陆战队员出于各自的需要同意形婚，但一场悲剧很快令他们虚假的关系变得真实起来。
傲慢与偏见,2005,2005-09-16,"剧情,爱情",129,80,英语,乔·赖特,简·奥斯汀,有时你最不愿与之相处的人，偏偏是你生命中不可或缺的存在。,根据简·奥斯汀同名小说改编。伊丽莎白·班纳特(凯拉·奈特丽 饰)出身于小地主家庭，有四个姐妹，母亲班纳特太太整天操心着为女儿物色称心如意的丈夫。新来的邻居宾格来先生和他的朋友达西（马修·麦克菲迪恩 饰）打破了她们一家人单调的乡村生活。宾格来和伊丽莎白的姐姐简·班纳特互生情愫；达西对善良聪明的伊丽莎白产生了好感，而伊丽莎白却对达西不可一世的傲慢心存偏见，不接受他的感情。然而，世事难料，宾格来和简·班纳特因为误会，关系危在旦夕；达西的种种作为，展示了性格中和伊丽莎白相同的善良一面，逐渐赢得了伊丽莎白的好感。两对有情人能否终成眷属？班纳特姐妹们能否得到自己想要的生活？
与神同行2：因与缘,2018,2018-08-01,"动作,冒险,奇幻,惊悚",141,80,朝鲜语,金容华,,Unveiling millennium-old secrets.,三位阴间使者江林（河正宇 饰）、解怨脉（朱智勋 饰）、德春（金香起 饰）即将带领第49位「贵人」金秀鸿（金东旭 饰）进行地狱审判，他们同时发现人间有一位家神（马东锡 饰），试图把早该阳寿已尽的老人强留人间。阴间使者为了带走该名老人，开始与家神展开激烈决斗，而在这个过程之中，三位阴间使者千年以前的前世之谜也将被一一揭开…
为美好的世界献上祝福！红传说,2019,2019-08-30,"动画,冒险,喜剧,奇幻",90,80,日语,金崎贵臣,晓夏目,We will definitely return alive. Go back to that place.,本应由于交通事故（!?）导致人生轻易闭幕的游戏迷家里蹲·佐藤和真，事出偶然地带着女神·阿库娅转生到了异世界。“在如同RPG游戏一样的异世界，享受憧憬已久的冒险者生活！目标是勇者！”像这样兴奋了还没多久，转生而来的和真就尽是遇到倒霉的事情。 麻烦制造机废柴女神·阿库娅，重度中二病魔法使·惠惠，妄想停不下来的女骑士·达克妮丝，和真与空有高超能力值却无比残念的这3人组队，欠下一屁股债，涉嫌颠覆国家罪而遭到审判，讨伐魔王军干部，偶尔还会死一死……  这样的某一天，突然跑来的红魔族少女·悠悠的一句爆炸性发言，让和真等人当场石化。“我想要和真先生的孩子！”问明原因，原来惠惠和悠悠的故乡“红魔之里” 目前正濒临灭亡的危机。追在出发前去拯救村落的悠悠后面，和真等人向着红魔之里出发，但——！？向和真小队袭来的最大危机！平凡的冒险者和真度过的异世界生活，未来究竟会怎样！？
象人,1980,1980-10-10,"剧情,历史",124,80,英语,大卫·林奇,Christopher De Vore,A true story of courage and human dignity.,象人（约翰•赫特 John Hurt 饰）是一个天生的畸形症患者，他的脸长得就像大象的脸，因此而得名。象人一直被利欲昏心的马戏团老板利用，带到世界各地去巡回演出，受尽了非人的虐待。象人所经受的遭遇社会名流们都会感到不可思议，然而乐观坚强的象人却承担了下来。
黎明墙,2017,2018-03-11,"纪录,冒险",101,80,英语,Josh Lowell,Peter Mortimer,简介,讲述两名男子徒手征服“世界最难攀登绝壁”黎明墙的经历，热血沸腾鼓舞人心[并不简单] 2015年1月，Tommy Caldwell和Kevin Jorgeson开始攀登，两人在陡峭的垂直悬崖上生活了数周，引发了全球媒体的狂热关注。对Caldwell来说，这不仅仅是一次攀登，也是证明自己的强大之处的机会：22岁时，Caldwell被吉尔吉斯斯坦叛军挟持为人质，不久后他在一次事故中失去食指。两人耗时将近20天，成功登顶加利福利亚约塞米蒂国家公园的埃尔卡皮坦山，创下了徒手攀上黎明墙的世界纪录。  在此之前，两人花费了6年的时间规划路线，于2010和2011年两次尝试攀爬，均以失败告终。1958年首次有人征服黎明墙，目前约有100多条攀登路线，但从未有人徒手登顶。奥巴马也曾在两人成功后表示祝贺，称“一切皆有可能”。
隐藏人物,2016,2017-06-16,"剧情,历史",127,80,英语,西奥多·梅尔菲,艾莉森·施罗德,在你所做的任务背后，认识你不认识的女人。,影片讲述1962年，汉森饰演的非裔美国数学家与斯宾瑟和梦奈两位“同事”组成智囊团，为宇航员约翰·格伦成功绕地球轨道飞行做出贡献。
罗生门,1950,1950-08-26,"犯罪,剧情,悬疑",88,80,日语,黑泽明,芥川龙之介,丈夫，妻子……还是强盗？,这部引人入胜的心理惊悚片探讨真相的本质与正义的意义，被广泛视为影史最伟大的作品之一。四名当事人对一名男子的被杀及其妻子遭强奸的事件给出了截然不同的说法，导演黑泽明以极具冲击力的影像和巧妙的闪回手法呈现这段罗生门。这部雄辩的杰作在国际影坛引起轰动，革新了电影语言，并将日本电影——以及一位气场十足的新星，名为三船敏郎——带向了西方世界。[标准收藏]
特殊的一天,1977,1977-08-11,"剧情,爱情",106,80,意大利语,Ettore Scola,鲁杰罗·马卡里,A special film about two special people.,特殊的一天是指1938年5月6日，这天希特勒与墨索里尼在罗马进行所谓的“高峰会议”，整个罗马城里的电台日夜都在鼓吹法西斯的威力和成就，罗马全体居民都放假一天来到广场集合听讲话。中年妇女安东尼泰是个本分的家庭妇女，这天她因照顾孩子操忙家务而没有去参加集会，因而认识了新来的邻居，一个电台播音员。两人从不认识到互相攀谈，发展到激情和肉体交欢，都在短短一天内。就在他们分别后的晚上，播音员被法西斯带走，而安东尼泰则似乎重新找回了生活的激情。
福尔摩斯二世,1924,1924-04-17,"动作,喜剧,悬疑",45,80,英语,巴斯特·基頓,克莱德·布鲁克曼,每一帧画面都充满了笑点！,影片的男主角基顿（巴斯特·基顿 Buster Keaton 饰）是一名乡村影院电影放映师，他喜欢阅读侦探类的书籍，经常幻想自己就是一名像福尔摩一样的大侦探。一天，他把价值一元的巧克力糖谎称四元送给女友凯莎琳（Kathryn McGuire 饰），不料被情敌趁机陷害，说基 顿偷了别人的手表拿去当才有钱买巧克力。凯莎琳相信了谗言，遂将基顿赶出门外，并取消了二人之间的婚约。基顿查访之后，发现情敌才是偷表典当的家伙，但却苦无证据洗清冤情。某日，基顿在放映电影时，发现银幕上的故事竟和他的遭遇同出一辙，而且人物也雷同，唯一不同的是电影中的故事发生在一个上流家庭而已。基顿边放映电影边沉溺在电影之中，于是走出放映室，从观众席走入银幕之中逮捕情敌罪犯。可是进入银幕后的基顿却四处碰壁，一筹莫展．随着场景的变化，银幕上的映象不断从幻想变成事实……
驯龙高手：归家,2019,2019-12-03,"动画,奇幻,冒险,家庭",21,80,英语,蒂姆·约翰逊,乔纳森·格罗夫,简介,故事发生在小嗝嗝与没牙仔分开的五年之后，博克岛一年一度的亲衣节又到了，然而随着小嗝嗝的孩子们的长大，对龙与人曾经那段真挚而深刻的友谊只能通过父母的言语来了解，不免产生了质疑，小嗝嗝为防止孩子们对龙的误解，又能想出怎样的妙招呢？
雄狮,2016,2017-06-23,剧情,118,80,英语,加斯·戴维斯,卢克·戴维斯,The search begins,萨罗 和妹妹、哥哥以及母亲过着相依为命的生活，虽然贫穷艰辛，但一家人在一起相互扶持，日子过得依然温暖而又充满了欢乐。一次偶然中，萨罗同哥哥在火车站走散了，误打误撞之中，萨罗登上了一列开往加尔各答的火车，在那里，萨罗成为了露宿街头的流浪儿，并最终被送进了收容所。
甜蜜的生活,1960,1960-02-05,"喜剧,剧情",174,80,意大利语,费德里科·费里尼,恩尼奥·弗拉亚诺,The world’s most talked about movie today!,作为史上最受欢迎的意大利导演之票房巅峰作，此片一举将费德里科·费里尼推向国际主流视野——讽刺的是，它恰恰通过尖锐批判明星文化而达成此成就。影片审视罗马奢华光鲜阶层诱人生活方式下的黑暗底色，跟随一位声名狼藉的八卦记者，记录其在聚光灯边缘奔波忙碌的一周。这部尖刻的影像不仅是对当代欧洲日益深化的堕落风气的犀利评论，更精准预言了社会将对八卦与名声产生何等病态的追逐。[标准收藏公司]
乱,1985,1985-06-01,"动作,剧情,历史",160,80,日语,黑泽明,小国英雄,在这个疯狂的世界里，唯有疯狂者才保持着清醒。,电影大师黑泽明将莎士比亚的《李尔王》重构为一部以十六世纪日本为背景的史诗巨作。这部气势恢宏的晚年杰作，以磅礴的叙事透视战争的虚妄，刻画了一个家族在背叛、贪婪与权力欲望重压之下逐渐崩毁的悲剧图景。
蜗牛回忆录,2024,2025-09-05,"动画,剧情,喜剧",95,80,英语,亚当·艾略特,,"Life can only be understood backwards, but we have to live it forwards.",喜欢收集蜗牛的女孩格蕾丝（莎拉·斯努克 Sarah Snook 配音）在被迫与双胞胎吉尔伯特（柯蒂·斯密特-麦菲 Kodi Smit-McPhee 配音）分开后，结识了古怪的老奶奶萍奇（杰基·韦佛 Jacki Weaver 配音），逐渐找到新的希望和快乐。
与神同行：罪与罚,2017,2017-12-20,"动作,冒险,剧情,奇幻,惊悚",139,80,朝鲜语,金容华,,Fate continues even after death.,阴间有法，所有亡者在死后的49天内都要经过七次审判——分别在杀人狱、懒惰狱、欺骗狱、不义狱、背叛狱、暴力狱、天伦狱中进行，只有通过了七次审判宣告无罪的亡者，才有获得新生的机会。消防员金子洪在一场火灾当中为了救一名女孩而不幸牺牲。地狱使者解怨脉和德春出现在了金子洪的面前。尽管金子洪无法相信自己的死亡，却被德春一脸严肃地告知自己既是亡者、又是贵人。在通往地狱的入口，金子洪遇到了在初军门等着自己的另一位使者江林。他掌管着解怨脉和德春两位使者，同时也将在子洪即将接受的七次审判中为子洪进行辩护...
窃听风暴,2006,2006-03-23,"剧情,惊悚",137,80,德语,弗洛里安·亨克尔·冯·多纳斯马尔克,,柏林墙没倒的时候，东德的秘密警察听过了你的秘密,一部政治惊悚片，亦是一曲人性剧，本片的故事始于1984年的东柏林，时值柏林墙倒塌与“公开性”政策实施五年前，并最终将我们带至1991年已然统一的德国。影片刻画了东德全权秘密警察机构史塔西麾下的精锐军官——格尔德·维泽勒上尉逐渐醒悟的过程。[索尼影业经典]
第二个妈妈,2015,2024-04-22,剧情,112,80,葡萄牙语,Anna Muylaert,,简介,现代圣保罗，勤劳的住家女佣瓦尔对照顾富裕雇主全家起居毫无怨言——从烹饪清洁，到充当他们从襁褓带大的青春期儿子的代母亲。但当瓦尔久未谋面的女儿杰西卡突然出现，这栋宅邸里心照不宣却根深蒂固的阶级壁垒骤然崩塌。自信、聪慧且野心勃勃的杰西卡拒绝接受楼上/楼下的既定秩序，不仅考验着人际关系与忠诚，更迫使所有人重新审视“家”的真正含义。[Oscilloscope Pictures]
奥本海默,2023,2023-08-30,"剧情,历史",181,80,英语,克里斯托弗·诺兰,,世界永远改变。,亲临这部震撼全球的现象级巨制。克里斯托弗·诺兰编剧并执导的本片带领观众深入物理学家J·罗伯特·奥本海默（基里安·墨菲 饰）的内心世界，他在曼哈顿计划中的开创性工作催生了世界上第一颗原子弹。这场无与伦比的银幕盛宴汇聚全明星阵容，包括艾米莉·布朗特、奥斯卡奖得主马特·达蒙、奥斯卡奖提名者小罗伯特·唐尼、奥斯卡奖提名者弗洛伦丝·皮尤、乔什·哈奈特，以及奥斯卡奖得主凯西·阿弗莱克、拉米·马雷克与肯尼思·布拉纳。[环球影业]
